skill,doc_frequency,doc_freq_pct
internet,24,0.00988
task,24,0.00988
science,24,0.00988
hours,24,0.00988
ability communicate,23,0.00947
authorized,23,0.00947
basic computer,23,0.00947
authorized work,23,0.00947
data entry,23,0.00947
teaching instruction,23,0.00947
committed,23,0.00947
patients,23,0.00947
operating,23,0.00947
projects,23,0.00947
lbs,23,0.00947
core,23,0.00947
right,23,0.00947
handling animal,23,0.00947
applications,23,0.00947
diploma equivalent,23,0.00947
drive,23,0.00947
word excel,23,0.00947
non,22,0.00906
possess,22,0.00906
interactive social,22,0.00906
salary,22,0.00906
skills accounting,22,0.00906
interactive,22,0.00906
clients,22,0.00906
order,22,0.00906
offer,22,0.00906
oracle,22,0.00906
oral,22,0.00906
hr,22,0.00906
organization people,22,0.00906
global,22,0.00906
business development,22,0.00906
available,22,0.00906
delivery,22,0.00906
areas,22,0.00906
programs,22,0.00906
inventory,22,0.00906
low,22,0.00906
additional,22,0.00906
met,22,0.00906
self,22,0.00906
media seo,22,0.00906
growth,22,0.00906
results,21,0.00865
rewarding,21,0.00865
lives,21,0.00865
times,21,0.00865
product,21,0.00865
tomorrow,21,0.00865
office suite,21,0.00865
combination,21,0.00865
administrative support,21,0.00865
work environment,21,0.00865
thinking,21,0.00865
handle,21,0.00865
days,21,0.00865
demonstrated,21,0.00865
driving,21,0.00865
push,21,0.00865
receive,21,0.00865
lift 50,21,0.00865
long,21,0.00865
hands,21,0.00865
principles,21,0.00865
complete,21,0.00865
described,20,0.00824
www,20,0.00824
candidates,20,0.00824
standards,20,0.00824
sponsorship,20,0.00824
package,20,0.00824
potential,20,0.00824
preferably,20,0.00824
improve,20,0.00824
sit,20,0.00824
short,20,0.00824
internal,20,0.00824
identify,20,0.00824
write,20,0.00824
aws,20,0.00824
desk,20,0.00824
strong organizational,20,0.00824
advocacy community,20,0.00824
thrive,20,0.00824
reach,20,0.00824
characteristic,20,0.00824
test,20,0.00824
marital,20,0.00824
reports,20,0.00824
history,20,0.00824
holidays,20,0.00824
staff,20,0.00824
pay,20,0.00824
